# element, center1, center2, atomicnum
Al 16723.5 16767.957 13
C 15582.101 16190.632 6
Ca 16155.176 16160.500 20
Ce 15789.063 16380.954 58
Co 16158.700 16762.158 27
Cr 15684.264 16019.765 24
Cu 16010.023 999.0 29
Fe 15495.100 15902.228 26
Ge 16764.238 999.0 32
K 15167.081 15172.527 19
Mg 15745.000 15958.794 12
Mn 15221.867 15266.6 25
N 15321.871 15321.871 7
Na 16378.276 16393.443 11
Nd 15372.342 16058.542 60
Ni 15559.517 16315.028 28
O 15760.300 15285.000 8
P 15715.93 15715.93 15
Rb 15293.534 999.0 37
S 15482.319 15408.000 16
Si 15964.600 16064.521 14
Ti 15339.241 16639.65 22
V 15929.052 16575.174 23
Y 15624.142 16649.300 39
Yb 16502.973 16502.973 70
